school,municipality,lon,lat,unique_id
Holy Trinity Catholic School,Sarnia,-82.372511,42.9698227,Holy Trinity Catholic SchoolSarnia
H W Burgess Public School,Chatham-Kent,-82.3711879,42.5970452,H W Burgess Public SchoolChatham-Kent
Lansdowne Public School,Sarnia,-82.3710714,42.9646244,Lansdowne Public SchoolSarnia
Christ the King Catholic School,Chatham-Kent,-82.370192,42.5992448,Christ the King Catholic SchoolChatham-Kent
École élémentaire Les Rapides,Sarnia,-82.3662726,42.998773,École élémentaire Les RapidesSarnia
Great Lakes Secondary School,Sarnia,-82.3661941,42.9667003,Great Lakes Secondary SchoolSarnia
Cathcart Boulevard Public School,Sarnia,-82.362965,43.010485,Cathcart Boulevard Public SchoolSarnia
Alexander Mackenzie Secondary School,Sarnia,-82.361523,42.999465,Alexander Mackenzie Secondary SchoolSarnia
Gregory A Hogan Catholic School,Sarnia,-82.3599315,43.0108059,Gregory A Hogan Catholic SchoolSarnia
École élémentaire Franco-Jeunesse,Sarnia,-82.3539529,42.9932222,École élémentaire Franco-JeunesseSarnia
École secondaire Franco-Jeunesse,Sarnia,-82.3539529,42.9932222,École secondaire Franco-JeunesseSarnia
École secondaire catholique École secondaire Saint-François-Xavier,Sarnia,-82.353593,42.993434,École secondaire catholique École secondaire Saint-François-XavierSarnia
St Patrick's Catholic High School,Sarnia,-82.3512669,42.9950104,St Patrick's Catholic High SchoolSarnia
St Anne Catholic School,Sarnia,-82.3495652,42.9954638,St Anne Catholic SchoolSarnia
Confederation Central School,Sarnia,-82.2702551,42.9581893,Confederation Central SchoolSarnia
Bright's Grove Public School,Sarnia,-82.263302,43.0307096,Bright's Grove Public SchoolSarnia
Merlin Area Public School,Chatham-Kent,-82.2380665,42.2452975,Merlin Area Public SchoolChatham-Kent
École élémentaire catholique Sainte-Marie,Chatham-Kent,-82.2284487,42.3996026,École élémentaire catholique Sainte-MarieChatham-Kent
St. Angela Merici Catholic School,Chatham-Kent,-82.2249834,42.3986148,St. Angela Merici Catholic SchoolChatham-Kent
Tecumseh Public School,Chatham,-82.2098012,42.4089178,Tecumseh Public SchoolChatham
Tecumseh Public School,Chatham-Kent,-82.2098012,42.4089178,Tecumseh Public SchoolChatham-Kent
Winston Churchill Public School,Chatham-Kent,-82.1978133,42.3956618,Winston Churchill Public SchoolChatham-Kent
Ursuline College,Chatham,-82.1955433,42.4063178,Ursuline CollegeChatham
Ursuline College,Chatham-Kent,-82.1955433,42.4063178,Ursuline CollegeChatham-Kent
Ursuline College Chatham Catholic Secondary School,Chatham-Kent,-82.1955433,42.4063178,Ursuline College Chatham Catholic Secondary SchoolChatham-Kent
Chatham Kent Secondary School,Chatham-Kent,-82.1917222,42.4218065,Chatham Kent Secondary SchoolChatham-Kent
Chatham-Kent Secondary School,Chatham-Kent,-82.1917222,42.4218065,Chatham-Kent Secondary SchoolChatham-Kent
King George VI Public School,Chatham-Kent,-82.1908274,42.4187022,King George VI Public SchoolChatham-Kent
Board Site,Chatham-Kent,-82.181682,42.426212,Board SiteChatham-Kent
LK Petrolia Virtual Learn at Home Elementary School,Chatham-Kent,-82.181682,42.426212,LK Petrolia Virtual Learn at Home Elementary SchoolChatham-Kent
Indian Creek Road Public School,Chatham-Kent,-82.1816451,42.3784848,Indian Creek Road Public SchoolChatham-Kent
McNaughton Avenue Public School,Chatham-Kent,-82.181315,42.426694,McNaughton Avenue Public SchoolChatham-Kent
McNaughton Ave Public School,Chatham-Kent,-82.181315,42.426694,McNaughton Ave Public SchoolChatham-Kent
St Ursula Catholic School,Chatham-Kent,-82.1793824,42.38947,St Ursula Catholic SchoolChatham-Kent
Dresden Area Central School,Chatham-Kent,-82.179132,42.5853104,Dresden Area Central SchoolChatham-Kent
Lambton Kent Composite School,Chatham-Kent,-82.1773879,42.595388,Lambton Kent Composite SchoolChatham-Kent
Victor Lauriston Public School,Chatham-Kent,-82.176946,42.3937492,Victor Lauriston Public SchoolChatham-Kent
John McGregor Secondary School,Chatham-Kent,-82.1749834,42.3834533,John McGregor Secondary SchoolChatham-Kent
Queen Elizabeth II Public School,Chatham-Kent,-82.1719968,42.3966045,Queen Elizabeth II Public SchoolChatham-Kent
Queen Elizabeth II C Public School,Chatham-Kent,-82.1719968,42.3966045,Queen Elizabeth II C Public SchoolChatham-Kent
